event_date,addtocart,transaction,view
2015-05-03 00:00:00+00:00,296,83,13303
2015-05-04 00:00:00+00:00,578,154,18681
2015-05-05 00:00:00+00:00,561,225,22225
2015-05-06 00:00:00+00:00,647,258,23015
2015-05-07 00:00:00+00:00,572,217,22368
2015-05-08 00:00:00+00:00,531,126,18766
2015-05-09 00:00:00+00:00,279,63,12353
2015-05-10 00:00:00+00:00,310,60,11771
2015-05-11 00:00:00+00:00,388,84,15702
2015-05-12 00:00:00+00:00,575,186,21610
2015-05-13 00:00:00+00:00,581,208,22975
2015-05-14 00:00:00+00:00,666,256,23231
2015-05-15 00:00:00+00:00,507,185,21496
2015-05-16 00:00:00+00:00,417,130,18765
2015-05-17 00:00:00+00:00,493,169,20216
2015-05-18 00:00:00+00:00,649,245,26187
2015-05-19 00:00:00+00:00,652,196,25949
2015-05-20 00:00:00+00:00,422,125,21688
2015-05-21 00:00:00+00:00,551,131,20992
2015-05-22 00:00:00+00:00,462,154,20445
2015-05-23 00:00:00+00:00,355,113,15938
2015-05-24 00:00:00+00:00,319,97,16830
2015-05-25 00:00:00+00:00,576,178,23106
2015-05-26 00:00:00+00:00,580,194,21222
2015-05-27 00:00:00+00:00,524,197,21210
2015-05-28 00:00:00+00:00,581,225,21214
2015-05-29 00:00:00+00:00,447,137,18986
2015-05-30 00:00:00+00:00,449,116,15463
2015-05-31 00:00:00+00:00,350,99,15948
2015-06-01 00:00:00+00:00,519,200,22073
2015-06-02 00:00:00+00:00,522,206,22604
2015-06-03 00:00:00+00:00,579,204,22776
2015-06-04 00:00:00+00:00,604,205,22820
2015-06-05 00:00:00+00:00,449,149,20213
2015-06-06 00:00:00+00:00,372,104,15679
2015-06-07 00:00:00+00:00,345,106,15697
2015-06-08 00:00:00+00:00,537,192,20207
2015-06-09 00:00:00+00:00,469,132,23078
2015-06-10 00:00:00+00:00,597,210,23213
2015-06-11 00:00:00+00:00,497,157,20253
2015-06-12 00:00:00+00:00,332,107,15426
2015-06-13 00:00:00+00:00,277,60,11932
2015-06-14 00:00:00+00:00,353,108,13690
2015-06-15 00:00:00+00:00,624,191,21451
2015-06-16 00:00:00+00:00,799,276,23589
2015-06-17 00:00:00+00:00,674,269,22948
2015-06-18 00:00:00+00:00,700,220,22402
2015-06-19 00:00:00+00:00,492,166,19961
2015-06-20 00:00:00+00:00,401,111,15053
2015-06-21 00:00:00+00:00,331,83,15216
2015-06-22 00:00:00+00:00,597,234,22462
2015-06-23 00:00:00+00:00,632,250,22733
2015-06-24 00:00:00+00:00,583,177,21199
2015-06-25 00:00:00+00:00,509,204,19557
2015-06-26 00:00:00+00:00,479,177,19215
2015-06-27 00:00:00+00:00,369,91,15014
2015-06-28 00:00:00+00:00,342,89,16764
2015-06-29 00:00:00+00:00,521,203,22257
2015-06-30 00:00:00+00:00,526,162,20757
2015-07-01 00:00:00+00:00,480,195,20089
2015-07-02 00:00:00+00:00,461,155,20791
2015-07-03 00:00:00+00:00,490,155,20129
2015-07-04 00:00:00+00:00,364,119,15608
2015-07-05 00:00:00+00:00,476,100,15173
2015-07-06 00:00:00+00:00,552,219,21583
2015-07-07 00:00:00+00:00,667,247,23466
2015-07-08 00:00:00+00:00,689,259,24084
2015-07-09 00:00:00+00:00,678,207,24111
2015-07-10 00:00:00+00:00,640,181,22325
2015-07-11 00:00:00+00:00,376,98,20317
2015-07-12 00:00:00+00:00,334,91,20701
2015-07-13 00:00:00+00:00,664,216,25234
2015-07-14 00:00:00+00:00,630,231,26007
2015-07-15 00:00:00+00:00,560,216,23361
2015-07-16 00:00:00+00:00,605,239,20776
2015-07-17 00:00:00+00:00,447,139,19597
2015-07-18 00:00:00+00:00,399,102,15988
2015-07-19 00:00:00+00:00,372,116,16315
2015-07-20 00:00:00+00:00,724,232,24373
2015-07-21 00:00:00+00:00,667,227,22713
2015-07-22 00:00:00+00:00,770,267,21288
2015-07-23 00:00:00+00:00,646,234,20709
2015-07-24 00:00:00+00:00,538,137,22071
2015-07-25 00:00:00+00:00,437,116,26551
2015-07-26 00:00:00+00:00,471,144,32077
2015-07-27 00:00:00+00:00,666,267,27622
2015-07-28 00:00:00+00:00,716,273,20986
2015-07-29 00:00:00+00:00,628,240,22329
2015-07-30 00:00:00+00:00,565,214,20192
2015-07-31 00:00:00+00:00,538,166,18231
2015-08-01 00:00:00+00:00,379,79,14996
2015-08-02 00:00:00+00:00,360,105,14752
2015-08-03 00:00:00+00:00,565,198,20501
2015-08-04 00:00:00+00:00,584,209,20436
2015-08-05 00:00:00+00:00,624,237,19542
2015-08-06 00:00:00+00:00,527,127,19668
2015-08-07 00:00:00+00:00,600,175,18570
2015-08-08 00:00:00+00:00,326,67,12459
2015-08-09 00:00:00+00:00,300,60,12754
2015-08-10 00:00:00+00:00,519,129,17770
2015-08-11 00:00:00+00:00,382,129,17689
2015-08-12 00:00:00+00:00,556,195,19331
2015-08-13 00:00:00+00:00,511,177,18464
2015-08-14 00:00:00+00:00,417,112,16442
2015-08-15 00:00:00+00:00,341,92,12987
2015-08-16 00:00:00+00:00,376,78,14033
2015-08-17 00:00:00+00:00,615,209,20024
2015-08-18 00:00:00+00:00,528,201,20019
2015-08-19 00:00:00+00:00,535,219,19325
2015-08-20 00:00:00+00:00,517,208,18487
2015-08-21 00:00:00+00:00,442,132,17170
2015-08-22 00:00:00+00:00,337,91,13816
2015-08-23 00:00:00+00:00,343,94,13577
2015-08-24 00:00:00+00:00,528,179,18033
2015-08-25 00:00:00+00:00,496,165,19018
2015-08-26 00:00:00+00:00,565,205,18203
2015-08-27 00:00:00+00:00,509,210,18842
2015-08-28 00:00:00+00:00,564,152,18886
2015-08-29 00:00:00+00:00,353,77,14532
2015-08-30 00:00:00+00:00,574,146,15557
2015-08-31 00:00:00+00:00,452,175,17997
2015-09-01 00:00:00+00:00,443,158,17573
2015-09-02 00:00:00+00:00,417,141,16977
2015-09-03 00:00:00+00:00,445,138,17453
2015-09-04 00:00:00+00:00,452,153,17124
2015-09-05 00:00:00+00:00,308,80,13973
2015-09-06 00:00:00+00:00,369,79,14124
2015-09-07 00:00:00+00:00,572,189,19030
2015-09-08 00:00:00+00:00,505,148,20158
2015-09-09 00:00:00+00:00,572,192,20995
2015-09-10 00:00:00+00:00,480,181,21887
2015-09-11 00:00:00+00:00,631,211,20671
2015-09-12 00:00:00+00:00,370,102,15023
2015-09-13 00:00:00+00:00,395,88,16373
2015-09-14 00:00:00+00:00,469,154,20282
2015-09-15 00:00:00+00:00,594,158,19673
2015-09-16 00:00:00+00:00,335,137,11022
2015-09-17 00:00:00+00:00,251,45,9830
2015-09-18 00:00:00+00:00,34,15,1479
