itemid,addtocart,transaction,view,unique_visitors,cart_per_view_pct,transaction_per_view_pct
461686,304,133,2538,1393,11.9779353821907,5.240346729708432
119736,44,97,752,267,5.851063829787234,12.898936170212766
213834,17,92,293,258,5.802047781569966,31.399317406143346
312728,161,46,947,615,17.00105596620908,4.857444561774023
7943,97,46,1346,846,7.206537890044577,3.4175334323922733
445351,89,45,939,636,9.478168264110757,4.792332268370607
48030,95,41,986,634,9.634888438133874,4.158215010141988
420960,60,38,795,373,7.547169811320755,4.779874213836478
248455,52,38,575,292,9.043478260869565,6.608695652173913
17478,72,37,631,381,11.410459587955627,5.863708399366086
409804,152,35,647,457,23.493044822256568,5.409582689335394
320130,141,33,1333,886,10.577644411102776,2.4756189047261814
416017,49,32,393,187,12.468193384223918,8.142493638676845
369447,80,31,1103,615,7.252946509519492,2.8105167724388034
46156,52,31,468,291,11.11111111111111,6.6239316239316235
268883,52,29,597,338,8.710217755443885,4.857621440536013
334401,8,28,200,157,4.0,14.0
441852,90,27,860,656,10.465116279069768,3.13953488372093
257040,89,27,1531,986,5.81319399085565,1.7635532331809276
37029,71,25,1131,776,6.27763041556145,2.2104332449160036
