Country,revenue,orders,customers,units,revenue_share_pct
United Kingdom,17814055.927,36535,5350,9349186,85.178
EIRE,664050.09,626,5,340054,3.175
Netherlands,554230.69,228,22,383976,2.65
Germany,430703.791,789,107,227769,2.059
France,356746.51,622,95,275090,1.706
Australia,169900.61000000002,95,15,104080,0.812
Spain,109127.21,154,41,50774,0.522
Switzerland,100988.99,93,22,52872,0.483
Sweden,91869.82,105,19,88633,0.439
Denmark,69862.19,43,12,237925,0.334
Belgium,65733.92,149,29,35296,0.314
Norway,60109.62,45,13,27203,0.287
Portugal,57948.05,95,24,28379,0.277
Japan,47138.39,33,10,33327,0.225
Channel Islands,44986.86,55,13,21476,0.215
Italy,32535.97,65,17,15476,0.156
Finland,29925.54,57,14,14375,0.143
Singapore,25317.06,11,1,6994,0.121
Cyprus,24849.95,37,11,10950,0.119
Hong Kong,23685.52,15,0,7021,0.113
