CustomerID,orders,revenue,units,unique_products,first_purchase,last_purchase,avg_order_value,repeat_buyer,recency_days
18102,145,608821.65,188340,382,2009-12-01 09:24:00,2011-12-09 11:50:00,4198.77,True,0
14646,151,528602.52,367193,961,2009-12-02 16:52:00,2011-12-08 12:12:00,3500.678940397351,True,1
14156,156,313759.82,165873,1446,2009-12-01 12:30:00,2011-11-30 10:54:00,2011.2808974358975,True,9
14911,398,295832.39,149949,2550,2009-12-01 11:41:00,2011-12-08 15:54:00,743.2974623115579,True,0
17450,51,246813.09,84700,144,2010-09-27 16:59:00,2011-12-01 13:29:00,4839.472352941177,True,7
13694,143,196482.81,189205,896,2009-12-04 15:26:00,2011-12-06 09:32:00,1374.0056643356643,True,3
17511,60,175603.55,119656,657,2009-12-02 10:52:00,2011-12-07 10:12:00,2926.725833333333,True,2
16446,2,168472.5,80997,3,2011-05-18 09:52:00,2011-12-09 09:15:00,84236.25,True,0
16684,55,147142.77,104810,184,2009-12-07 12:56:00,2011-12-05 14:06:00,2675.3230909090908,True,3
12415,28,144458.37,91447,498,2010-06-30 08:30:00,2011-11-15 14:22:00,5159.2275,True,23
15061,127,137818.52,80711,131,2009-12-01 12:18:00,2011-12-06 12:06:00,1085.1851968503936,True,3
16029,107,122035.14,56386,57,2009-12-08 11:23:00,2011-11-01 10:27:00,1140.5153271028037,True,38
17949,118,118628.08,60658,58,2009-12-02 11:07:00,2011-12-08 18:46:00,1005.3227118644068,True,0
13089,203,116647.53,60150,857,2009-12-02 15:44:00,2011-12-07 09:02:00,574.6183743842364,True,2
15311,208,116575.49,70931,864,2009-12-01 11:21:00,2011-12-09 12:00:00,560.4590865384615,True,0
12931,57,92347.34,62906,37,2009-12-01 11:46:00,2011-11-18 12:39:00,1620.1287719298246,True,21
14298,82,91194.49,100272,1370,2009-12-11 13:49:00,2011-12-01 13:12:00,1112.1279268292683,True,7
15769,46,88704.32,49104,26,2009-12-11 09:58:00,2011-12-02 13:52:00,1928.3547826086958,True,6
12346,12,77556.46,74285,27,2009-12-14 08:34:00,2011-01-18 10:01:00,6463.038333333334,True,325
13798,110,75836.87,48347,168,2009-12-08 16:21:00,2011-12-08 15:51:00,689.4260909090908,True,0
