StockCode,Description,revenue,units,orders,customers
22423,REGENCY CAKESTAND 3 TIER,344069.3,27536,3918,1314
M,Manual,340327.63,9748,784,438
DOT,DOTCOM POSTAGE,322657.48,1436,1415,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262589.96,95966,5356,1490
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
47566,PARTY BUNTING,149109.35,28362,2674,894
85099B,JUMBO BAG RED RETROSPOT,148528.63,78698,3245,860
84879,ASSORTED COLOUR BIRD ORNAMENT,131817.81,81590,2807,1010
POST,POSTAGE,127597.42,5461,1851,405
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123002.89,36534,2018,896
79321,CHILLI LIGHTS,85157.56,16763,1135,304
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74380.06999999999,32498,756,300
21137,BLACK RECORD COVER FRAME,69295.72,19945,634,198
85099F,JUMBO BAG STRAWBERRY,68382.73,37072,1830,549
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,450
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63362.350000000006,12420,1583,626
82484,WOOD BLACK BOARD ANT WHITE FINISH,62778.72,11046,1176,451
21931,JUMBO STORAGE BAG SUKI,62257.72,29489,2329,546
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61671.840000000004,19580,1427,701
