StockCode,Description,revenue,units,orders,customers
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,25197.98,109898,1019,482
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262589.96,95966,5356,1490
84879,ASSORTED COLOUR BIRD ORNAMENT,131817.81,81590,2807,1010
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
85099B,JUMBO BAG RED RETROSPOT,148528.63,78698,3245,860
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138
17003,BROCADE RING PURSE,14948.75,71394,456,215
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28413.63,56625,1993,767
84991,60 TEATIME FAIRY CAKE CASES,27321.370000000003,54537,2127,822
22197,SMALL POPCORN HOLDER,44068.03,49922,1407,426
21212,PACK OF 72 RETROSPOT CAKE CASES,28894.37,49744,1708,772
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43,46728,1410,632
15036,ASSORTED COLOURS SILK FAN,33041.55,44365,991,303
22492,MINI PAINT SET VINTAGE,28237.99,44333,714,356
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25386.65,40703,1259,524
22178,VICTORIAN GLASS HANGING T-LIGHT,53105.59,40572,1816,593
21213,PACK OF 72 SKULL CAKE CASES,21661.75,40563,1481,528
22616,PACK OF 12 LONDON TISSUES,12747.23,40106,825,319
21915,RED  HARMONICA IN BOX,44680.05,38088,1025,467
21232,STRAWBERRY CERAMIC TRINKET BOX,48529.26,37532,2310,683
