split,prediction_cutoff,rows,positives,target_rate
train,2010-05-30 00:00:00,2694,1108,0.4112843355605048
train,2010-06-29 00:00:00,2729,1104,0.4045437889336753
train,2010-07-29 00:00:00,2818,1157,0.4105748757984386
train,2010-08-28 00:00:00,2843,1378,0.4846992613436511
train,2010-09-27 00:00:00,2847,1544,0.5423252546540218
train,2010-10-27 00:00:00,3151,1474,0.4677880038083148
train,2010-11-26 00:00:00,3432,1109,0.32313519813519814
train,2010-12-26 00:00:00,3437,914,0.26592958975851033
train,2011-01-25 00:00:00,3351,1060,0.31632348552670847
train,2011-02-24 00:00:00,3327,1126,0.33844304177938084
validation,2011-05-02 07:12:00,3030,1221,0.402970297029703
validation,2011-06-01 07:12:00,2658,1127,0.42400300978179084
test,2011-08-21 03:36:00,2801,1324,0.4726883255980007
test,2011-09-20 03:36:00,2805,1489,0.5308377896613191
