split,prediction_cutoff,rows,positives,target_rate
train,2015-05-24 00:00:00+00:00,225151,112,0.0004974439376240834
train,2015-05-31 00:00:00+00:00,231937,106,0.0004570206564713694
train,2015-06-07 00:00:00+00:00,235828,99,0.0004197974795189715
train,2015-06-14 00:00:00+00:00,225179,120,0.0005329093743199854
train,2015-06-21 00:00:00+00:00,221774,113,0.0005095277174060079
train,2015-06-28 00:00:00+00:00,217357,95,0.00043706896948338445
train,2015-07-05 00:00:00+00:00,219762,118,0.0005369445127001029
train,2015-07-12 00:00:00+00:00,230595,108,0.0004683536069732648
validation,2015-07-25 09:36:00+00:00,257881,116,0.00044981987816085714
validation,2015-08-01 09:36:00+00:00,268938,97,0.00036067792576727724
validation,2015-08-08 09:36:00+00:00,249575,97,0.0003886607232294901
test,2015-08-22 04:48:00+00:00,215625,99,0.0004591304347826087
test,2015-08-29 04:48:00+00:00,211233,83,0.00039293102876917905
test,2015-09-05 04:48:00+00:00,211066,94,0.00044535832393658857
