row_id,treatment,conversion,predicted_treatment_conversion,predicted_control_conversion,uplift_score,uplift_decile
2723639,1,0,0.62777096,0.39258504,0.23518592,1
5813430,0,0,0.5531073,0.32022738,0.23287994,1
13340183,1,1,0.5468501,0.32418266,0.22266743,1
198035,1,0,0.5853879,0.36351162,0.22187626,1
1506906,1,0,0.42819548,0.20773503,0.22046044,1
2191482,1,1,0.45885834,0.23961641,0.21924193,1
1005169,1,0,0.55059606,0.33141205,0.21918401,1
1019566,1,1,0.5372883,0.31942856,0.21785975,1
6102491,0,0,0.7351218,0.51855034,0.21657145,1
373228,1,1,0.68100667,0.4648853,0.21612138,1
6273914,0,0,0.66036654,0.44490692,0.21545961,1
2501969,1,1,0.52151054,0.30808237,0.21342817,1
1074405,1,0,0.50874823,0.29693967,0.21180856,1
42729,1,0,0.6467727,0.43625203,0.21052065,1
3424844,1,0,0.54400676,0.33440295,0.20960382,1
1395786,1,0,0.43474427,0.22584175,0.20890252,1
4925934,1,0,0.5615719,0.35272592,0.20884597,1
6175896,0,0,0.60955083,0.4011864,0.20836443,1
1421606,1,0,0.64607203,0.43874574,0.2073263,1
1535939,1,0,0.4867971,0.27959016,0.20720693,1
853628,1,1,0.628958,0.42310277,0.20585522,1
6163422,0,0,0.55984306,0.35418737,0.2056557,1
13529159,1,0,0.5355384,0.32990098,0.2056374,1
1431743,1,1,0.584684,0.37972513,0.20495889,1
1935395,1,1,0.5543825,0.3496993,0.20468321,1
3843523,1,1,0.62270826,0.41865408,0.20405418,1
5334885,1,0,0.4141708,0.21014836,0.20402244,1
5919393,0,0,0.6723947,0.46906492,0.20332977,1
6190728,0,0,0.5960516,0.39286464,0.20318693,1
4222828,1,1,0.58106005,0.3784897,0.20257035,1
8683293,1,1,0.47990724,0.2774288,0.20247844,1
4561609,1,0,0.45985562,0.2576755,0.20218012,1
5941952,0,0,0.4553889,0.25363204,0.20175686,1
6426855,0,0,0.46754745,0.26669157,0.20085588,1
2552950,1,0,0.59846336,0.3977819,0.20068145,1
6229205,0,1,0.6222073,0.4220855,0.20012179,1
583472,1,0,0.64888,0.44881445,0.20006555,1
2323705,1,0,0.46102825,0.2612515,0.19977674,1
3738324,1,1,0.669053,0.46941265,0.19964036,1
5285463,1,0,0.6667079,0.46747494,0.19923294,1
